z_index,z_obs,tage_gyr,mag_u,mag_b,mag_v,mag_sdss_g,mag_sdss_r
1,0.010102,8.182137,41.903936,40.548375,39.723435,40.206205,39.440134
1,0.010102,8.287036,41.920790,40.561711,39.734655,40.218653,39.450561
1,0.010102,8.391935,41.937694,40.575041,39.745849,40.231087,39.460957
1,0.010102,8.496834,41.954649,40.588368,39.757018,40.243507,39.471322
1,0.010102,8.601733,41.971661,40.601695,39.768164,40.255916,39.481658
1,0.010102,8.706633,41.988732,40.615022,39.779289,40.268315,39.491967
1,0.010102,8.811532,42.005866,40.628353,39.790393,40.280706,39.502248
1,0.010102,8.916431,42.023011,40.641674,39.801493,40.293089,39.512529
1,0.010102,9.021330,42.038751,40.654628,39.812951,40.305413,39.523414
1,0.010102,9.126229,42.054536,40.667585,39.824396,40.317733,39.534281
1,0.010102,9.231128,42.070370,40.680548,39.835830,40.330051,39.545131
1,0.010102,9.336028,42.086256,40.693519,39.847255,40.342368,39.555967
1,0.010102,9.440927,42.102195,40.706499,39.858671,40.354687,39.566789
1,0.010102,9.545826,42.118193,40.719490,39.870081,40.367010,39.577598
1,0.010102,9.650725,42.134250,40.732494,39.881485,40.379336,39.588397
1,0.010102,9.755624,42.150372,40.745512,39.892885,40.391668,39.599185
1,0.010102,9.860524,42.166559,40.758547,39.904282,40.404008,39.609964
1,0.010102,9.965423,42.182817,40.771599,39.915678,40.416357,39.620736
1,0.010102,10.070322,42.197569,40.783172,39.925611,40.427252,39.630037
1,0.010102,10.175221,42.211587,40.794007,39.934810,40.437419,39.638598
1,0.010102,10.280120,42.225641,40.804838,39.943992,40.447576,39.647138
1,0.010102,10.385019,42.239734,40.815667,39.953158,40.457724,39.655659
2,0.020203,0.000001,34.958371,35.068548,35.315855,35.144006,35.429808
2,0.020203,0.103621,38.101635,37.450915,37.387405,37.403429,37.382001
2,0.020203,0.207241,38.846747,37.952469,37.882713,37.893119,37.895248
2,0.020203,0.310861,39.336352,38.306408,38.186619,38.226888,38.183034
2,0.020203,0.414481,39.662229,38.575988,38.415944,38.479750,38.397847
2,0.020203,0.518101,39.935285,38.823863,38.603355,38.705232,38.562322
2,0.020203,0.621721,40.168796,39.041206,38.756836,38.898697,38.691360
2,0.020203,0.725341,40.354237,39.229193,38.894990,39.067643,38.811217
2,0.020203,0.828961,40.522229,39.400628,39.020147,39.221919,38.916666
2,0.020203,0.932581,40.663573,39.550876,39.127881,39.357641,39.004913
2,0.020203,1.036201,40.783477,39.669235,39.206137,39.463598,39.063026
2,0.020203,1.139821,40.892224,39.763834,39.248601,39.540536,39.082419
2,0.020203,1.243441,40.991229,39.845091,39.271862,39.600158,39.081530
2,0.020203,1.347061,41.128352,39.992033,39.405237,39.742598,39.207894
2,0.020203,1.450681,41.258713,40.133814,39.541021,39.882753,39.340016
2,0.020203,1.554301,41.356580,40.233185,39.635210,39.980398,39.432453
2,0.020203,1.657920,41.444224,40.319119,39.713435,40.063483,39.507988
2,0.020203,1.761540,41.528005,40.399554,39.784678,40.140414,39.576022
2,0.020203,1.865160,41.602352,40.469290,39.844643,40.206189,39.632905
2,0.020203,1.968780,41.675491,40.537269,39.902267,40.269902,39.687358
2,0.020203,2.072400,41.742623,40.600353,39.957054,40.329526,39.739625
2,0.020203,2.176020,41.808044,40.661984,40.010858,40.387865,39.791072
2,0.020203,2.279640,41.869966,40.718721,40.058575,40.440856,39.835900
2,0.020203,2.383260,41.925746,40.767264,40.096591,40.485097,39.870302
2,0.020203,2.486880,41.981979,40.815866,40.134279,40.529214,39.904294
2,0.020203,2.590500,42.035352,40.864795,40.176124,40.575207,39.943740
2,0.020203,2.694120,42.088100,40.914034,40.219344,40.621936,39.984924
2,0.020203,2.797740,42.141396,40.963620,40.262622,40.668884,40.026086
2,0.020203,2.901360,42.187374,41.005125,40.297766,40.707737,40.059047
2,0.020203,3.004980,42.231638,41.044582,40.330716,40.744478,40.089764
2,0.020203,3.108600,42.276186,41.084114,40.363528,40.781194,40.120289
2,0.020203,3.212220,42.317463,41.120534,40.393816,40.815020,40.148524
2,0.020203,3.315840,42.355017,41.153472,40.421344,40.845646,40.174276
2,0.020203,3.419460,42.392698,41.186380,40.448709,40.876177,40.199832
2,0.020203,3.523080,42.430548,41.219287,40.475932,40.906640,40.225214
2,0.020203,3.626700,42.464585,41.249744,40.502355,40.935364,40.250268
2,0.020203,3.730320,42.497414,41.279384,40.528444,40.963480,40.275127
2,0.020203,3.833940,42.530326,41.309009,40.554435,40.991542,40.299863
2,0.020203,3.937560,42.563348,41.338642,40.580344,41.019570,40.324494
2,0.020203,4.041180,42.593727,41.365820,40.604142,41.045288,40.347134
2,0.020203,4.144800,42.622141,41.391164,40.626358,41.069278,40.368280
2,0.020203,4.248420,42.650588,41.416466,40.648472,41.093198,40.389308
2,0.020203,4.352040,42.679087,41.441740,40.670497,41.117061,40.410230
2,0.020203,4.455660,42.707656,41.467000,40.692443,41.140880,40.431056
2,0.020203,4.559280,42.732083,41.489144,40.712273,41.162035,40.450039
2,0.020203,4.662900,42.755988,41.510856,40.731765,41.182801,40.468708
2,0.020203,4.766519,42.779887,41.532520,40.751173,41.203502,40.487283
2,0.020203,4.870139,42.803793,41.554144,40.770505,41.224147,40.505771
2,0.020203,4.973759,42.827717,41.575739,40.789770,41.244744,40.524181
2,0.020203,5.077379,42.850412,41.596025,40.807860,41.264082,40.541478
2,0.020203,5.180999,42.872378,41.615519,40.825231,41.282654,40.558089
2,0.020203,5.284619,42.894349,41.634973,40.842531,41.301171,40.574621
2,0.020203,5.388239,42.916334,41.654394,40.859768,41.319641,40.591081
2,0.020203,5.491859,42.938342,41.673789,40.876947,41.338069,40.607473
2,0.020203,5.595479,42.960381,41.693164,40.894072,41.356462,40.623803
2,0.020203,5.699099,42.982741,41.712407,40.910663,41.374559,40.639451
2,0.020203,5.802719,43.005261,41.731597,40.927023,41.392528,40.654807
2,0.020203,5.906339,43.027847,41.750783,40.943338,41.410474,40.670105
2,0.020203,6.009959,43.050507,41.769972,40.959611,41.428402,40.685350
